province,province_code,district,district_code,ward,ward_code,ghn_provinceId,ghn_districtId,ghn_ward_code,province_misa_code,district_misa_code,ward_misa_code
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Phúc Xá,1,201,1484,1A0110,,VN10101,VN1010101
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Trúc Bạch,4,201,1484,1A0113,,VN10101,VN1010103
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Vĩnh Phúc,6,201,1484,1A0114,,VN10101,VN1010105
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Cống Vị,7,201,1484,1A0101,,VN10101,VN1010107
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Liễu Giai,8,201,1484,1A0106,,VN10101,VN1010109
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Nguyễn Trung Trực,10,201,1484,1A0109,,VN10101,VN1010111
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Quán Thánh,13,201,1484,1A0111,,VN10101,VN1010125
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Ngọc Hà,16,201,1484,1A0107,,VN10101,VN1010113
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Điện Biên,19,201,1484,1A0102,,VN10101,VN4010117
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Đội Cấn,22,201,1484,1A0103,,VN10101,VN2110125
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Ngọc Khánh,25,201,1484,1A0108,,VN10101,VN1010127
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Kim Mã,28,201,1484,1A0105,,VN10101,VN1010117
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Giảng Võ,31,201,1484,1A0104,,VN10101,VN1010119
Thành phố Hà Nội,1,Quận Ba Đình,1,Phường Thành Công,34,201,1484,1A0112,,VN10101,VN6050123
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Phúc Tân,37,201,1489,1A0216,,VN10105,VN1010501
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Đồng Xuân,40,201,1489,1A0204,,VN10105,VN1010529
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Mã,43,201,1489,1A0212,,VN10105,VN1010503
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Buồm,46,201,1489,1A0209,,VN10105,VN1010505
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Đào,49,201,1489,1A0210,,VN10105,VN1010507
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bồ,52,201,1489,1A0207,,VN10105,VN1010509
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Cửa Đông,55,201,1489,1A0202,,VN10105,VN1010531
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Lý Thái Tổ,58,201,1489,1A0214,,VN10105,VN1010511
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bạc,61,201,1489,1A0205,,VN10105,VN1010513
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Gai,64,201,1489,1A0211,,VN10105,VN1010533
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Trống,70,201,1489,1A0213,,VN10105,VN1010517
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Cửa Nam,73,201,1489,1A0203,,VN10105,VN4030123
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bông,76,201,1489,1A0208,,VN10105,VN1010527
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Tràng Tiền,79,201,1489,1A0218,,VN10105,VN1010535
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Trần Hưng Đạo,82,201,1489,1A0217,,VN10105,VN2250117
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Phan Chu Trinh,85,201,1489,1A0215,,VN10105,VN1010523
Thành phố Hà Nội,1,Quận Hoàn Kiếm,2,Phường Hàng Bài,88,201,1489,1A0206,,VN10105,VN1010525
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Phú Thượng,91,201,1492,1A0503,,VN10103,VN1010313
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Nhật Tân,94,201,1492,1A0502,,VN10103,VN1010301
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Tứ Liên,97,201,1492,1A0506,,VN10103,VN1010303
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Quảng An,100,201,1492,1A0504,,VN10103,VN1010305
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Xuân La,103,201,1492,1A0507,,VN10103,VN1010307
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Yên Phụ,106,201,1492,1A0508,,VN10103,VN1010315
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Bưởi,109,201,1492,1A0501,,VN10103,VN1010309
Thành phố Hà Nội,1,Quận Tây Hồ,3,Phường Thụy Khuê,112,201,1492,1A0505,,VN10103,VN1010311
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Thượng Thanh,115,201,1491,1A0913,,VN10106,VN1010621
Thành phố Hà Nội,1,Quận Long Biên,4,Phường Ngọc Thụy,118,201,1491,1A0908,,VN10106,VN1010623
