id,groupId,title,key
1,1,Danh Sách Tài khoản,index
2,1,Chi Tiết Tài khoản Quản Trị,show
3,1,Tạo Mới Tài Khoản Quản Trị,create
4,1,Cập Nhật Ảnh Đại DIện,uploadAvatar
5,1,Sửa Thông Tin Quản Trị,update
6,1,Đổi Mật Khẩu Quản Trị,changePassword
7,1,Kích Hoạt Quản Trị,active
8,1,Hủy Kích Hoạt Quản Trị,inActive
9,1,Xóa Tài khoản Quản Trị,delete
10,2,Thêm Banner,create
11,2,Danh Sách Banner,index
12,2,Sửa Thông Tin Banner,update
13,2,Xem Chi Tiết Thông Tin Banner,show
14,2,Chỉnh Sửa Vị Trí Banner,reorder
15,2,Xóa Banner,delete
16,3,Xem Mẫu Hóa Đơn Thanh Toán,show
17,3,Tạo Mới Mẫu Hóa Đơn Thanh Toán,create
18,4,Thêm Mới Đơn Vị Đối Tác,"create,uploadMedia,uploadAvatar"
19,4,Danh Sách Đơn Vị Đối Tác,index
20,4,Chỉnh sửa Thông Tin Đơn Vị Đối Tác,"uploadPaperProof,update,active,inactive,uploadMedia,uploadAvatar,changePassword,verify,reject"
21,4,Xem Thông tin Đơn Vị Đối Tác,show
22,4,Xóa Đơn Vị Đối Tác,delete
23,4,Duyệt Đơn Vị Đối Tác,"active,inactive"
24,5,Danh Sách Thông Báo Marketing,index
25,5,Chi Tiết Thông Báo Marketing,show
26,5,Tạo Mới Thông Báo Marketing,"create,uploadThumbnail"
27,5,Chỉnh Sửa Thông Báo Marketing,"update,uploadThumbnail"
28,5,Xóa Thông Báo Marketing,delete
29,5,Gửi Ngay Thông báo Marketing,sendNow
30,6,Danh Sách Danh Mục Tin Tức,index
31,6,Chi Tiết Danh Mục Tin Tức,show
32,6,Cập Nhật Danh Mục TIn Tức,update
33,6,Tạo Mới Danh Mục Tin Tức,create
34,6,Xóa Danh Mục Tin Tức,delete
35,7,Danh Sách Tin Tức,index
36,7,Tạo Mới Tin Tức,"create,uploadThumbnail"
37,7,Chỉnh Sửa Tin Tức,"update,uploadThumbnail,active,inactive"
38,7,Xóa Tin Tức,delete
39,7,Chi Tiết Tin Tức,show
40,8,Xem Đơn Hàng Tổng,show
41,8,Tạo Mới Đơn Hàng,create
42,8,Danh Sách Đơn Hàng,index
43,8,Chỉnh Sửa Đơn Hàng,update
44,8,Xóa Đơn Hàng,delete
45,8,Tải Xuống Báo Cáo Đơn Hàng,download
46,9,Xem PopUp Quảng Cáo,show
47,9,Tạo Mới PopUp Quảng Cáo,"create,uploadImage"
48,9,Danh Sách PopUp Quảng Cáo,index
49,9,Chỉnh Sửa PopUp Quảng Cáo,"update,uploadImage"
50,9,Xóa PopUp Quảng Cáo,delete
51,10,Xem Danh Mục Sản Phẩm,show
52,10,Tạo mới Danh Mục Sản Phẩm,"create,uploadThumbnail"
53,10,Chỉnh sửa Mục Sản Phẩm,"update,uploadThumbnail"
54,10,Danh Sách Danh Mục Sản Phẩm,index
55,10,Xóa Danh Mục Sản Phẩm,delete
56,11,Danh Sách Sản Phẩm,index
57,11,Tạo mới Sản Phẩm,"create,uploadMedia,uploadOptionMedia"
58,11,Chỉnh sửa Sản Phẩm,"update,uploadMedia,uploadOptionMedia,active,inactive"
59,11,Xem Chi Tiết Sản Phẩm,show
60,11,Xóa Sản Phẩm,delete
61,12,Chỉnh Sửa Hạng Đối Tác,update
62,12,Xem Chi Tiết Hạng Đối Tác,show
63,13,Xem Chi Tiết Bảng Giá,show
64,13,Tạo Mới Bảng Giá,create
65,13,Chỉnh Sửa Bảng Giá,"update,inactive,active"
66,13,Danh Sách Bảng Giá,index
67,13,Xóa Bảng Giá,delete
