id,province,province_code,province_misa_code,district,district_code,district_misa_code,ward,ward_code,ward_misa_code
1,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Thị trấn Tây Đằng,1,VN1015149
2,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Ba Trại,2,VN1015135
3,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Ba Vì,3,VN1015139
4,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Cẩm Lĩnh,4,VN1015123
5,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Cam Thượng,5,VN1015131
6,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Châu Sơn,6,VN1015107
7,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Chu Minh,7,VN1015121
8,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Cổ Đô,8,VN1015103
9,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Đông Quang,9,VN1015127
10,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Đồng Thái,10,VN1015117
11,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Khánh Thượng,11,VN1015141
12,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Minh Châu,12,VN1015119
13,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Minh Quang,13,VN1015137
14,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Phong Vân,14,VN1015109
15,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Phú Châu,15,VN1015113
16,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Phú Cường,16,VN1015101
17,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Phú Đông,17,VN1015111
18,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Phú Phương,18,VN1015153
19,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Phú Sơn,19,VN1015155
20,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Sơn Đà,20,VN1015125
21,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Tản Hồng,21,VN1015105
22,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Tản Lĩnh,22,VN1015161
23,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Thái Hòa,23,VN1015115
24,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Thuần Mỹ,24,VN1015133
25,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Thụy An,25,VN1015129
26,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Tiên Phong,26,VN1015159
27,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Tòng Bạt,27,VN1015157
28,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Vân Hòa,28,VN1015163
29,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Vạn Thắng,29,VN1015151
30,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Vật Lại,30,VN1015145
31,Hà Nội,1,VN101,Huyện Ba Vì,1,VN10151,Xã Yên Bài,31,VN1015147
32,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Thị trấn Chúc Sơn,32,VN1015325
33,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Thị trấn Xuân Mai,33,VN1015327
34,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Đại Yên,34,VN1015303
35,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Đồng Lạc,35,VN1015323
36,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Đồng Phú,36,VN1015359
37,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Đông Phương Yên,37,VN1015331
38,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Đông Sơn,38,VN1015329
39,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Hòa Chính,39,VN1015365
40,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Hoàng Diệu,40,VN1015353
41,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Hoàng Văn Thụ,41,VN1015351
42,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Hồng Phong,42,VN1015321
43,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Hợp Đồng,43,VN1015317
44,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Hữu Văn,44,VN1015319
45,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Lam Điền,45,VN1015345
46,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Mỹ Lương,46,VN1015355
47,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Nam Phương Tiến,47,VN1015349
48,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Ngọc Hòa,48,VN1015337
49,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Phú Nam An,49,VN1015307
50,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Phú Nghĩa,50,VN1015311
51,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Phụng Châu,51,VN1015309
52,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Quảng Bị,52,VN1015305
53,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Tân Tiến,53,VN1015347
54,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Thanh Bình,54,VN1015339
55,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Thượng Vực,55,VN1015357
56,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Thụy Hương,56,VN1015343
57,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Thủy Xuân Tiên,57,VN1015313
58,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Tiên Phương,58,VN1015301
59,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Tốt Động,59,VN1015315
60,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Trần Phú,60,VN1015361
61,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Trung Hòa,61,VN1015341
62,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Trường Yên,62,VN1015335
63,Hà Nội,1,VN101,Huyện Chương Mỹ,2,VN10153,Xã Văn Võ,63,VN1015363
64,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Thị trấn Phùng,64,VN1013311
65,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Đan Phượng,65,VN1013329
66,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Đồng Tháp,66,VN1013331
67,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Hạ Mỗ,67,VN1013305
68,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Hồng Hà,68,VN1013317
69,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Liên Hà,69,VN1013321
70,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Liên Hồng,70,VN1013319
71,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Liên Trung,71,VN1013323
72,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Phương Đình,72,VN1013303
73,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Song Phượng,73,VN1013309
74,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Tân Hội,74,VN1013307
75,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Tân Lập,75,VN1013327
76,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Thọ An,76,VN1013301
77,Hà Nội,1,VN101,Huyện Đan Phượng,3,VN10133,Xã Thọ Xuân,77,VN1013315
